lecture_id,questions,answer,source_sentence,entity,,,
1,What is data mining?,It is the process of extracting insights from large datasets using statistical and computational techniques.,Data mining is the process of extracting insights from large datasets using statistical and computational techniques.,MISC,,,
1,What is the goal of data mining?,To uncover hidden patterns and relationships for informed decision-making and predictions.,The goal is to uncover hidden patterns and relationships to support informed decision-making and predictions.,MISC,,ANDREA COLLAB LINK,sure na? ayaw talagang gumana??.ipynb
1,Who laid early statistical foundations relevant to data mining?,"Bayes, Gauss, Laplace, and Galton.","Early statistical foundations were laid by Bayes, Gauss, Laplace, and Galton.",PERSON,,,
1,When did the term “data mining” solidify?,In the late 1980s.,The term “data mining” and “knowledge discovery in databases (KDD)” solidified in the late 1980s.,DATE,,,
1,What is included in the KDD process?,"Domain understanding, data preparation, modeling, evaluation, and action on knowledge.","The KDD process includes understanding the domain, data preparation, modeling, evaluation, and acting on discovered knowledge.",MISC,,GERA COLLAB LINK,https://colab.research.google.com/drive/10fGJ0xkoNIgQGpLN0LqlRlXuU78cLrtX?usp=sharing
1,What does CRISP-DM include?,"Business understanding, data understanding, data preparation, modeling, evaluation, and deployment.","The CRISP-DM framework includes business understanding, data understanding, preparation, modeling, evaluation, and deployment.",MISC,,,
1,What regulations relate to data privacy in data mining?,GDPR and HIPAA.,Data privacy concerns involve anonymization and compliance with regulations like GDPR and HIPAA.,ORG,,,
2,What is supervised learning?,Supervised learning is the use of labeled datasets—input-output pairs—to enable a model to learn patterns for predictive tasks.,Supervised learning revolves around the use of labeled datasets—input-output pairs—enabling a model to learn underlying patterns for predictive tasks.,MISC,,,
2,What are the main phases of a supervised learning workflow?,"Data collection, labeling, data splitting (train, validate, test), model training, hyperparameter tuning, and evaluation.","A supervised learning workflow typically contains the following phases: data collection, labeling, data splitting (train, validate, test), model training, hyperparameter tuning, and evaluation using appropriate metrics.",MISC,,,
2,What tasks does supervised learning power?,Predicting discrete outcomes (classification) or continuous values (regression).,Supervised learning powers tasks where the goal is to either predict discrete outcomes (classification) or continuous values (regression).,MISC,,,
2,What is classification in supervised learning?,Categorizing inputs into discrete classes based on their features.,Classification tasks involve categorizing inputs into discrete classes based on their features.,MISC,,,
2,What is regression in supervised learning?,"Predicting continuous numeric values, such as housing prices or patient survival time.","Regression, by contrast, predicts continuous numeric values—for instance, forecasting housing prices or predicting patient survival time.",MISC,,,
2,Which algorithms can handle both classification and regression tasks?,Decision trees and k-nearest neighbors.,"Some algorithms, notably decision trees and k-nearest neighbors, are versatile enough to handle both types of tasks through slight modifications in their approach.",MISC,,,
2,How do classification and regression metrics differ?,"Classification uses accuracy, precision, recall, F1-score, ROC-AUC; regression uses mean squared error, R².","For instance, classification metrics (accuracy, precision, recall, F1-score, ROC-AUC) differ from those used in regression (mean squared error, R²).",MISC,,,
2,What are decision trees?,Interpretable supervised models that recursively partition data according to feature values.,Decision trees are among the most interpretable and widely adopted supervised models.,MISC,,,
2,What are the advantages and risks of decision trees?,"Advantages: interpretable, handles categorical/continuous variables, minimal preprocessing. Risks: overfitting mitigated by pruning, limiting depth, or ensembles.","Decision trees have transparency (easy to visualize and explain), ability to handle both categorical and continuous variables, and minimal data preprocessing, but are susceptible to overfitting.",MISC,,,
2,Where are decision trees especially important?,In sensitive domains like healthcare or finance for explainability.,"Modern decision tree implementations serve as the basis for many ensemble models (e.g., random forests, boosting), and remain crucial in sensitive domains, such as healthcare or finance, where explainability is essential.",ORG,,,
2,What is k-nearest neighbors (k NN)?,"A non-parametric, instance-based approach that predicts outputs based on the closest 'k' labeled examples.","The k NN algorithm embraces a non-parametric, instance-based approach: to predict the output for a new record, it examines the ‘k’ closest labeled examples in feature space.",MISC,,,
2,What is logistic regression?,A linear classification method estimating the probability that an instance belongs to a class using the logistic function.,Logistic regression is a linear classification method that estimates the probability that an instance belongs to a class using the logistic (sigmoid) function.,MISC,,,
3,What is a time series?,"A sequence of data points collected at successive, evenly-spaced time intervals.","A time series is a sequence of data points collected, recorded, or measured at successive, evenly-spaced time intervals.",MISC,,,
3,What are key properties of time series data?,"Trend, seasonality, cyclic behavior, stationarity, and autocorrelation.","Key properties of time series include trend, seasonality, cyclic behavior, stationarity, and autocorrelation.",MISC,,,
3,What are cyclic variations?,"Longer-term fluctuations without a fixed period, often associated with economic or business cycles.","Cyclical variations are longer-term fluctuations without a fixed period, often associated with economic or business cycles.",MISC,,,
3,What is irregularity (noise) in time series?,"Unpredictable fluctuations not attributable to trend, seasonality, or cycles.","Irregularity or noise refers to unpredictable fluctuations not attributable to trend, seasonality, or cycles.",MISC,,,
3,What is ARIMA?,"Autoregressive Integrated Moving Average model combining AR, I, and MA for forecasting time series.","ARIMA (Autoregressive Integrated Moving Average) models are used for forecasting time series data and combine autoregression (AR), differencing (I), and moving averages (MA).",MISC,,,
3,What is exponential smoothing?,"A forecasting method giving more weight to recent observations, assuming future patterns resemble the recent past.","Exponential smoothing predicts future trends by giving more weight to recent observations, assuming the future will resemble the recent past.",MISC,,,
3,What is Holt-Winters’ exponential smoothing?,"Triple smoothing for series with trend and seasonal components, introducing gamma (γ) for seasonality.","Holt-Winters’ exponential smoothing predicts time series with both trend and seasonal components, introducing a seasonal parameter gamma (γ).",MISC,,,
3,What is LSTM?,"Long Short-Term Memory networks, an enhanced RNN for capturing long-term dependencies in sequential data.",Long Short-Term Memory (LSTM) networks are an enhanced version of RNNs designed to capture long-term dependencies in sequential data.,MISC,,,
4,What is SPAN Engineering used to illustrate?,Network growth as a company evolves,SPAN Engineering is a fictitious company used to illustrate network growth.,ORG,,,
4,What layer of the OSI model do WAN operations focus on?,Physical and data link layer,WAN operations focus primarily on the physical and data link layer of the OSI Model.,MISC,,,
4,What does CPE stand for?,Customer Premises Equipment,Customer Premises Equipment (CPE) consists of devices and inside wiring located on the enterprise edge connecting to a carrier.,MISC,,,
4,What does DCE do?,Puts data on the local loop,Data Communications Equipment (DCE) consists of devices that put data on the local loop.,MISC,,,
4,What is DTE used for?,Connects customer devices to the WAN,Data Terminal Equipment (DTE) connects customer devices to the WAN.,MISC,,,
